  채용정보,,,,,,,,,,,,,,,
기관명,공고명,공고시작일,공고마감일,접수시작일,접수마감일,접수방법,접수대행,일반전형,채용인원,채용방법,전형방법,임용시기,임용조건,담당부서,연락처
부산교통공사,2020년 부산교통공사 신입사원 공개채용 공고,1/17/20,2/6/20,1/31/20,2/6/20,온라인 접수,https://humetro.saramin.co.kr,"운영직, 운전직, 토목직, 건축직, 기계직, 전기직, 신호직, 통신직",670,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2020-09(월중),부산·울산·경남 거주,경영지원처 인사혁신부,051-640-7196
부산교통공사,부산교통공사 공무직 채용 공고,11/16/20,11/27/20,11/23/20,11/27/20,온라인 접수,자체,"공무직(차량중정비), 공무직(전기설비 유지보수)",11,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 인성검사, 3차 면접시험",2021-01(월중),"부산·울산·경남 거주, 기능사 이상 자격증 소지자",경영지원처 인사혁신부,051-640-7196
부산교통공사,2021년 부산교통공사 신입사원 공개채용 공고,4/13/21,5/3/21,4/27/21,5/3/21,온라인 접수,https://busan.saramin.co.kr,"운영직, 운전직, 토목직, 건축직, 기계직, 전기직, 신호직, 통신직",160,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2021-08(월중),부산·울산·경남 거주,경영지원처 인사혁신부,051-640-7196
부산교통공사,2021년 부산교통공사 청년인턴 모집 공고,9/10/21,9/30/21,9/24/21,9/30/21,온라인 접수,자체,체험형 인턴(1·2기),60,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 면접시험",2021-11(월중),"부산·울산·경남 거주, 만 34세 이하",경영지원처 인사혁신부,051-640-7196
부산교통공사,2021년 하반기 부산교통공사 신입사원(운전직) 채용 공고,9/16/21,10/6/21,9/29/21,10/6/21,온라인 접수,https://busan.saramin.co.kr,운전직,41,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2021-12(월중),"부산·울산·경남 거주, 제2종 전기차량 운전면허 소지자",경영지원처 인사혁신부,051-640-7196
부산교통공사,부산교통공사 공무직 채용 공고,1/28/22,2/11/22,2/7/22,2/11/22,온라인 접수,자체,"공무직(차량중정비), 공무직(승강장안전문 유지보수), 공무직(전기설비 유지보수)",8,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2022-04(월중),"부산·울산·경남 거주, 기능사 이상 자격증 소지자",경영지원처 인사혁신부,051-640-7196
부산교통공사,2022년 부산교통공사 신입사원 공개채용 공고,4/14/22,5/4/22,4/28/22,5/4/22,온라인 접수,https://busan.saramin.co.kr,"운영직, 운전직, 토목직, 기계직, 전기직, 신호직",82,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2022-08(월중),부산·울산·경남 거주,경영지원처 인사혁신부,051-640-7196
부산교통공사,2022년 부산교통공사 공무직 공개채용 공고,4/14/22,5/4/22,4/28/22,5/4/22,온라인 접수,https://busan.saramin.co.kr,"공무직(차량중정비), 공무직(승강장안전문 유지보수)",13,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2022-08(월중),"부산·울산·경남 거주, 기능사 이상 자격증 소지자",경영지원처 인사혁신부,051-640-7196
부산교통공사,2022년 하반기 부산교통공사 신입사원 공개채용 공고,9/7/22,9/28/22,9/21/22,9/28/22,온라인 접수,https://busan.saramin.co.kr,"운영직, 운전직, 토목직, 전기직, 신호직",60,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2022-12(월중),부산·울산·경남 거주,경영지원처 인사혁신부,051-640-7196
부산교통공사,2022년 하반기 부산교통공사 공무직 공개채용 공고,9/7/22,9/28/22,9/21/22,9/28/22,온라인 접수,https://busan.saramin.co.kr,"공무직(차량중정비), 공무직(승강장안전문 유지보수), 공무직(전기설비 유지보수)",4,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2023-01(월중),"부산·울산·경남 거주, 기능사 이상 자격증 소지자",경영지원처 인사혁신부,051-640-7196
부산교통공사,2022년 부산교통공사 청년인턴 모집 공고,9/7/22,9/28/22,9/21/22,9/28/22,온라인 접수,자체,체험형 인턴(1·2기),60,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 면접시험",2022-11(월중),"부산·울산·경남 거주, 만 34세 이하",경영지원처 인사혁신부,051-640-7196
