  신규채용인원 현황,,,,,,
기관명,연도,정규직(일반),정규직(장애),공무직,인턴(일반),인턴(장애인)
부산교통공사,2020,630,40,11,0,0
부산교통공사,2021,188,13,0,60,0
부산교통공사,2022,129,9,25,60,0
부산교통공사,2023,88,6,12,57,3
부산교통공사,2024,109,18,0,50,10
부산도시공사,2020,12,0,4,0,0
부산도시공사,2021,12,1,7,0,0
부산도시공사,2022,22,1,6,7,0
부산도시공사,2023,26,3,5,11,4
부산도시공사,2024,16,2,1,22,0
부산시설공단,2020,33,0,42,0,0
부산시설공단,2021,58,0,128,10,0
부산시설공단,2022,21,0,61,0,0
부산시설공단,2023,47,0,77,15,0
부산시설공단,2024,52,0,95,13,0
부산환경공단,2020,91,4,4,데이터 없음,데이터 없음
부산환경공단,2021,65,6,0,19,0
부산환경공단,2022,47,4,3,20,0
부산환경공단,2023,28,2,10,20,0
부산환경공단,2024,40,1,6,20,0
부산관광공사,2020,2,0,3,0,0
부산관광공사,2021,5,0,1,2,0
부산관광공사,2022,2,0,2,2,0
부산관광공사,2023,4,0,9,2,0
부산관광공사,2024,5,0,1,4,0
